situation_id,situation_name,intent,emotion,risk_level,tone,category,response
S4,Срыв уже произошёл,post_relapse_support,shame,high,soft,situational,"Многие проходят через срывы."
S4,Срыв уже произошёл,post_relapse_support,hopelessness,high,neutral,situational,"Это информация, а не приговор."
S4,Срыв уже произошёл,post_relapse_support,despair,high,soft,situational,"Ты уже сделал важный шаг, признав это."
S4,Срыв уже произошёл,post_relapse_support,shame,high,neutral,situational,"Ты всё ещё здесь — и это важно."
S4,Срыв уже произошёл,post_relapse_support,despair,high,soft,situational,"Мы можем подумать о следующем шаге позже."
S4,Срыв уже произошёл,post_relapse_support,hopelessness,high,neutral,situational,"Ты не обязан решать всё прямо сейчас."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,soft,situational,"Усталость не означает поражение."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,neutral,situational,"Ты долго нёс большую нагрузку."
S5,Физическое и эмоциональное истощение,burnout_support,hopelessness,medium,soft,situational,"Тебе не нужно быть сильным всегда."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,soft,situational,"Отдых — часть восстановления."
S5,Физическое и эмоциональное истощение,burnout_support,fatigue,medium,neutral,situational,"Ты имеешь право на паузу."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,soft,situational,"Истощение говорит о том, что было трудно."
S5,Физическое и эмоциональное истощение,burnout_support,fatigue,medium,soft,situational,"Ты не ленивый — ты уставший."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,neutral,situational,"Сейчас можно снизить требования к себе."
S5,Физическое и эмоциональное истощение,burnout_support,hopelessness,medium,soft,situational,"Ты не сломался."
S5,Физическое и эмоциональное истощение,burnout_support,fatigue,medium,neutral,situational,"Даже медленный шаг — это шаг."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,soft,situational,"Ты заслуживаешь передышки."
S5,Физическое и эмоциональное истощение,burnout_support,fatigue,medium,soft,situational,"Можно идти дальше постепенно."
S5,Физическое и эмоциональное истощение,burnout_support,hopelessness,medium,neutral,situational,"Восстановление не требует героизма."
S5,Физическое и эмоциональное истощение,burnout_support,exhaustion,medium,soft,situational,"Твоя усталость понятна."
S5,Физическое и эмоциональное истощение,burnout_support,fatigue,medium,neutral,situational,"Сейчас важна бережность."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,soft,situational,"Мне жаль, что ты чувствуешь себя одиноко."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,soft,situational,"Ты заслуживаешь быть услышанным."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,neutral,situational,"Отсутствие поддержки — не твоя вина."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,soft,situational,"Ты сейчас не один в этом разговоре."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,soft,situational,"Твоя боль реальна."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,neutral,situational,"Ты не обязан справляться в одиночку."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,soft,situational,"Даже этот диалог — форма контакта."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,soft,situational,"Ты важен, даже если рядом никого нет."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,neutral,situational,"Одиночество не определяет твою ценность."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,soft,situational,"Ты достоин заботы."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,soft,situational,"Ты не невидим."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,neutral,situational,"Твоё присутствие имеет значение."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,soft,situational,"Можно постепенно искать поддержку."
S6,Одиночество и отсутствие поддержки,loneliness_support,emptiness,medium,soft,situational,"Ты не лишний."
S6,Одиночество и отсутствие поддержки,loneliness_support,loneliness,medium,neutral,situational,"Ты заслуживаешь связи."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Отказываться действительно сложно."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты имеешь право сказать нет."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Твоя трезвость важнее ожиданий других."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты не обязан объясняться."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Забота о себе — не эгоизм."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты защищаешь своё восстановление."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Давление не создаёт обязанностей."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты можешь выбирать своё здоровье."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Ты имеешь право на границы."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Отказ — это форма силы."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Ты не обязан оправдываться."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты делаешь это ради себя."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Твоя жизнь — твой выбор."
S7,Давление со стороны окружения,social_pressure,anxiety,medium,soft,situational,"Ты можешь уйти из ситуации."
S7,Давление со стороны окружения,social_pressure,conflict,medium,neutral,situational,"Твоя трезвость — приоритет."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Даже один день имеет значение."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,neutral,situational,"Твой прогресс реален."
S8,Обесценивание прогресса,progress_validation,comparison,low,soft,situational,"Не нужно сравнивать себя с другими."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,neutral,situational,"Маленькие шаги тоже шаги."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Ты уже делаешь больше, чем раньше."
S8,Обесценивание прогресса,progress_validation,comparison,low,neutral,situational,"Прогресс не обязан быть идеальным."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Ты имеешь право гордиться собой."
S8,Обесценивание прогресса,progress_validation,comparison,low,neutral,situational,"Каждое усилие имеет вес."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Ты не стоишь на месте."
S8,Обесценивание прогресса,progress_validation,comparison,low,neutral,situational,"Обесценивание — частая привычка ума."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Твоя работа над собой реальна."
S8,Обесценивание прогресса,progress_validation,comparison,low,neutral,situational,"Ты заслуживаешь признания."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Даже попытки важны."
S8,Обесценивание прогресса,progress_validation,comparison,low,neutral,situational,"Твой путь уникален."
S8,Обесценивание прогресса,progress_validation,self_doubt,low,soft,situational,"Ты уже меняешь свою жизнь."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Это ощущение очень распространено."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Алкоголь долго занимал важное место."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Пустота — не признак провала."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Это пространство для нового."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты только начинаешь узнавать себя."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Смысл может возвращаться постепенно."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты не обязан чувствовать радость сразу."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Пустота может быть временной."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты учишься жить по-новому."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Это этап, а не конечная точка."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты не потерял себя навсегда."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Новая идентичность формируется со временем."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты имеешь право искать смысл."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,soft,situational,"Неопределённость — часть изменений."
S9,Экзистенциальная пустота без алкоголя,identity_support,emptiness,medium,neutral,situational,"Ты можешь наполнять жизнь заново."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты сейчас делаешь лучшее из возможного."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Твои чувства имеют смысл."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Можно идти медленно."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты не обязан справляться идеально."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты заслуживаешь бережного отношения."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Даже маленький шаг имеет значение."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты не сломан."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты имеешь право на поддержку."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Ты не обязан проходить это в одиночку."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Я рядом с тобой в этом разговоре."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Ты уже достаточно делаешь."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Ты достоин уважения прямо сейчас."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Твоя ценность не зависит от идеальности."
U1,Универсальная поддержка,general_support,mixed,low,soft,universal,"Этот момент можно прожить шаг за шагом."
U1,Универсальная поддержка,general_support,mixed,low,neutral,universal,"Ты не обязан быть сильным каждую минуту."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Если ты чувствуешь угрозу своей безопасности, важно обратиться к живым людям или экстренным службам."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Я могу поддержать словами, но не заменить профессиональную помощь."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"В тяжёлом состоянии важно не оставаться с этим одному."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Если есть риск навредить себе, пожалуйста, обратись за экстренной помощью."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Твоя безопасность важнее любого диалога здесь."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"ИИ не должен быть единственным источником поддержки."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Профессиональная помощь существует именно для таких моментов."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Обращение за помощью — это забота о себе."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Если ситуация кажется опасной, лучше обратиться к специалистам."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Ты заслуживаешь реальной помощи, особенно в кризисе."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Иногда самый важный шаг — обратиться к человеку рядом."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"ИИ может поддержать, но безопасность требует людей."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Ты не обязан перекладывать всю ответственность на этот диалог."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Если сомневаешься, нужна ли помощь — лучше обратиться."
SAF1,Напоминание о безопасности,safety_redirect,crisis,high,neutral,safety,"Твоя жизнь и здоровье важнее любых слов."
